"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PIH","1347 Property Insurance Holdings, Inc.","7.1","$42.49M","2014","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pih",
"PIHPP","1347 Property Insurance Holdings, Inc.","25.59","n/a","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/pihpp",
"TURN","180 Degree Capital Corp.","2.31","$71.89M","n/a","Finance","Finance/Investors Services","https://www.nasdaq.com/symbol/turn",
"FLWS","1-800 FLOWERS.COM, Inc.","12.55","$810.78M","1999","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/flws",
"FCCY","1st Constitution Bancorp (NJ)","22.9","$191.52M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/fccy",
"SRCE","1st Source Corporation","53.43","$1.39B","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/srce",
"VNET","21Vianet Group, Inc.","9.7","$1.09B","2011","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/vnet",
"XXII","22nd Century Group, Inc","2.46","$305.81M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/xxii",
"TWOU","2U, Inc.","83.56","$4.74B","2014","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/twou",
"DDD","3D Systems Corporation","13.81","$1.57B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/ddd",
"MMM","3M Company","196.72","$116.79B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/mmm",
"WBAI","500.com Limited","14.71","$610.24M","2013","Consumer Services","Services-Misc. Amusement & Recreation","https://www.nasdaq.com/symbol/wbai",
"JOBS","51job, Inc.","97.64","$6.04B","2004","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/jobs",
"WUBA","58.com Inc.","69.34","$10.22B","2013","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/wuba",
"EGHT","8x8 Inc","20.05","$1.86B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght",
"EGHT","8x8 Inc","20.05","$1.86B","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/eght",
"AVHI","A V Homes, Inc.","21.4","$478.77M","n/a","Capital Goods","Homebuilding","https://www.nasdaq.com/symbol/avhi",
"SHLM","A. Schulman, Inc.","44.5","$1.31B","1972","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/shlm",
"AHC","A.H. Belo Corporation","4.7","$102.04M","n/a","Consumer Services","Newspapers/Magazines","https://www.nasdaq.com/symbol/ahc",
"ATEN","A10 Networks, Inc.","6.23","$440.78M","2014","Technology","Computer Communications Equipment","https://www.nasdaq.com/symbol/aten",
"AAC","AAC Holdings, Inc.","9.37","$230.55M","2014","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aac",
"AAON","AAON, Inc.","33.25","$1.74B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aaon",
"AIR","AAR Corp.","46.49","$1.61B","n/a","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/air",
"AAN","Aaron&#39;s,  Inc.","43.45","$3.15B","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aan",
"ABAX","ABAXIS, Inc.","83.01","$1.9B","1992","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/abax",
"ABB","ABB Ltd","21.77","$46.34B","n/a","Consumer Durables","Electrical Products","https://www.nasdaq.com/symbol/abb",
"ABT","Abbott Laboratories","60.99","$106.93B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abt",
"ABBV","AbbVie Inc.","92.65","$147.02B","2012","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abbv",
"ABEO","Abeona Therapeutics Inc.","16","$756.88M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeo",
"ABEOW","Abeona Therapeutics Inc.","11.1583","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/abeow",
"ANF","Abercrombie & Fitch Company","24.48","$1.66B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/anf",
"FAX","Aberdeen Asia-Pacific Income Fund Inc","4.32","$1.09B","1986","n/a","n/a","https://www.nasdaq.com/symbol/fax",
"IAF","Aberdeen Australia Equity Fund Inc","6.25","$142.14M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/iaf",
"AEF","Aberdeen Emerging Markets Equity Income Fund, Inc.","7","$423.49M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/aef",
"AGD","Aberdeen Global Dynamic Dividend Fund","10.25","$128.63M","2006","n/a","n/a","https://www.nasdaq.com/symbol/agd",
"FCO","Aberdeen Global Income Fund, Inc.","7.92","$69.1M","1992","n/a","n/a","https://www.nasdaq.com/symbol/fco",
"AWP","Aberdeen Global Premier Properties Fund","6.38","$544.9M","2007","n/a","n/a","https://www.nasdaq.com/symbol/awp",
"ACP","Aberdeen Income Credit Strategies Fund","13.81","$180.55M","2011","n/a","n/a","https://www.nasdaq.com/symbol/acp",
"JEQ","Aberdeen Japan Equity Fund, Inc. ","8.84","$118.36M","1992","n/a","n/a","https://www.nasdaq.com/symbol/jeq",
"AOD","Aberdeen Total Dynamic Dividend Fund","8.75","$941.44M","2007","n/a","n/a","https://www.nasdaq.com/symbol/aod",
"ABIL","Ability Inc.","7.13","$18.37M","2014","Consumer Durables","Telecommunications Equipment","https://www.nasdaq.com/symbol/abil",
"ABMD","ABIOMED, Inc.","409.05","$18.19B","n/a","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/abmd",
"ABM","ABM Industries Incorporated","29.18","$1.92B","n/a","Finance","Diversified Commercial Services","https://www.nasdaq.com/symbol/abm",
"AXAS","Abraxas Petroleum Corporation","2.89","$481.39M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/axas",
"ACIU","AC Immune SA","9.32","$534.97M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aciu",
"ACIA","Acacia Communications, Inc.","34.81","$1.4B","2016","Technology","Semiconductors","https://www.nasdaq.com/symbol/acia",
"ACTG","Acacia Research Corporation","4.15","$212.68M","n/a","Miscellaneous","Multi-Sector Companies","https://www.nasdaq.com/symbol/actg",
"ACHC","Acadia Healthcare Company, Inc.","40.91","$3.61B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/achc",
"ACAD","ACADIA Pharmaceuticals Inc.","15.27","$1.91B","2004","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acad",
"AKR","Acadia Realty Trust","27.37","$2.23B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/akr",
"ACST","Acasti Pharma, Inc.","0.57","$20.62M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acst",
"AXDX","Accelerate Diagnostics, Inc.","22.3","$1.2B","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/axdx",
"XLRN","Acceleron Pharma Inc.","48.52","$2.22B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/xlrn",
"ACN","Accenture plc","163.59","$110.1B","2001","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/acn",
"ANCX","Access National Corporation","28.6","$592.06M","n/a","Finance","Savings Institutions","https://www.nasdaq.com/symbol/ancx",
"ACCO","Acco Brands Corporation","13.85","$1.48B","n/a","Consumer Durables","Publishing","https://www.nasdaq.com/symbol/acco",
"ARAY","Accuray Incorporated","4.1","$351.12M","2007","Health Care","Medical/Dental Instruments","https://www.nasdaq.com/symbol/aray",
"ACRX","AcelRx Pharmaceuticals, Inc.","3.375","$173.21M","2011","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrx",
"ACER","Acer Therapeutics Inc.","21.6","$161.94M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acer",
"ACET","Aceto Corporation","3.35","$103.14M","n/a","Health Care","Other Pharmaceuticals","https://www.nasdaq.com/symbol/acet",
"AKAO","Achaogen, Inc.","8.66","$387.94M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akao",
"ACHV","Achieve Life Sciences, Inc. ","3.78","$10.45M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/achv",
"ACHN","Achillion Pharmaceuticals, Inc.","2.83","$391.5M","2006","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/achn",
"ACIW","ACI Worldwide, Inc.","24.67","$2.87B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/aciw",
"ACRS","Aclaris Therapeutics, Inc.","19.97","$617.19M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/acrs",
"ACMR","ACM Research, Inc.","10.78","$170.76M","2017","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acmr",
"ACU","Acme United Corporation.","20.75","$70.01M","1988","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/acu",
"ACNB","ACNB Corporation","34.05","$239.53M","n/a","Finance","Major Banks","https://www.nasdaq.com/symbol/acnb",
"ACOR","Acorda Therapeutics, Inc.","28.7","$1.35B","2006","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/acor",
"ATV","Acorn International, Inc.","14.25","$38.19M","2007","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/atv",
"ATNM","Actinium Pharmaceuticals, Inc.","0.64","$70.6M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/atnm",
"ATVI","Activision Blizzard, Inc","76.32","$58.1B","n/a","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/atvi",
"ATU","Actuant Corporation","29.35","$1.78B","n/a","Technology","Industrial Machinery/Components","https://www.nasdaq.com/symbol/atu",
"AYI","Acuity Brands Inc","115.87","$4.75B","n/a","Consumer Durables","Building Products","https://www.nasdaq.com/symbol/ayi",
"GOLF","Acushnet Holdings Corp.","24.46","$1.83B","2016","Consumer Non-Durables","Recreational Products/Toys","https://www.nasdaq.com/symbol/golf",
"ACXM","Acxiom Corporation","29.95","$2.31B","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/acxm",
"ADMS","Adamas Pharmaceuticals, Inc.","25.83","$696.95M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adms",
"ADMP","Adamis Pharmaceuticals Corporation","3.2","$106.85M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/admp",
"ADX","Adams Diversified Equity Fund, Inc.","15.42","$1.52B","n/a","n/a","n/a","https://www.nasdaq.com/symbol/adx",
"PEO","Adams Natural Resources Fund, Inc.","20.09","$573.59M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/peo",
"AE","Adams Resources & Energy, Inc.","43","$181.36M","n/a","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ae",
"ADAP","Adaptimmune Therapeutics plc","11.87","$1.12B","2015","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adap",
"ADUS","Addus HomeCare Corporation","57.25","$669.39M","2009","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/adus",
"AEY","ADDvantage Technologies Group, Inc.","1.31","$13.5M","n/a","Consumer Services","Office Equipment/Supplies/Services","https://www.nasdaq.com/symbol/aey",
"AGRO","Adecoagro S.A.","7.95","$927.54M","2011","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/agro",
"IOTS","Adesto Technologies Corporation","8.4","$180.22M","2015","Technology","Semiconductors","https://www.nasdaq.com/symbol/iots",
"ADNT","Adient plc","49.19","$4.59B","2016","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adnt",
"ADMA","ADMA Biologics Inc","4.51","$209.04M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/adma",
"ADBE","Adobe Systems Incorporated","243.81","$119.38B","1986","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/adbe",
"ADOM","ADOMANI, Inc.","1.09","$78.19M","2017","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/adom",
"ADT","ADT Inc.","8.65","$6.63B","2018","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/adt",
"ATGE","Adtalem Global Education Inc.","48.1","$2.9B","n/a","Consumer Services","Other Consumer Services","https://www.nasdaq.com/symbol/atge",
"ADTN","ADTRAN, Inc.","14.85","$711.53M","1994","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/adtn",
"ADRO","Aduro Biotech, Inc.","7","$551.11M","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adro",
"AAP","Advance Auto Parts Inc","135.7","$10.05B","n/a","Consumer Services","Other Specialty Stores","https://www.nasdaq.com/symbol/aap",
"ADSW","Advanced Disposal Services, Inc.","24.78","$2.19B","2016","Public Utilities","Environmental Services","https://www.nasdaq.com/symbol/adsw",
"WMS","Advanced Drainage Systems, Inc.","28.55","$1.62B","2014","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/wms",
"ADES","Advanced Emissions Solutions, Inc.","11.36","$233.15M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/ades",
"AEIS","Advanced Energy Industries, Inc.","58.09","$2.28B","1995","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/aeis",
"AMD","Advanced Micro Devices, Inc.","14.99","$14.53B","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/amd",
"ASIX","AdvanSix Inc.","36.63","$1.12B","2016","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/asix",
"AAV","Advantage Oil & Gas Ltd","3.1","$577.23M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/aav",
"ADXS","Advaxis, Inc.","1.45","$76.3M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxs",
"ADXSW","Advaxis, Inc.","0.1747","n/a","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/adxsw",
"AVK","Advent Claymore Convertible Securities and Income Fund","15.29","$306.47M","2003","n/a","n/a","https://www.nasdaq.com/symbol/avk",
"AGC","Advent Claymore Convertible Securities and Income Fund II","5.59","$152.98M","2007","n/a","n/a","https://www.nasdaq.com/symbol/agc",
"LCM","Advent/Claymore Enhanced Growth & Income Fund","7.74","$71.07M","2005","n/a","n/a","https://www.nasdaq.com/symbol/lcm",
"ADVM","Adverum Biotechnologies, Inc.","5.3","$330.04M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/advm",
"ACT","AdvisorShares Vice ETF","25.7017","$12.85M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/act",
"ACM","AECOM","33.03","$5.3B","2007","Consumer Services","Military/Government/Technical","https://www.nasdaq.com/symbol/acm",
"ANW","Aegean Marine Petroleum Network Inc.","0.6625","$26.92M","2006","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/anw",
"AEGN","Aegion Corp","25.75","$834.29M","n/a","Basic Industries","Water Supply","https://www.nasdaq.com/symbol/aegn",
"AGLE","Aeglea BioTherapeutics, Inc.","10.58","$231.27M","2016","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agle",
"AEB","Aegon NV","24.67","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeb",
"AED","Aegon NV","26.28","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aed",
"AEG","Aegon NV","5.92","$12.1B","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeg",
"AEH","Aegon NV","25.99","n/a","n/a","Finance","Life Insurance","https://www.nasdaq.com/symbol/aeh",
"AEHR","Aehr Test Systems","2.35","$51.59M","1997","Capital Goods","Electrical Products","https://www.nasdaq.com/symbol/aehr",
"AMTX","Aemetis, Inc","1.51","$30.54M","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/amtx",
"AER","Aercap Holdings N.V.","54.15","$7.97B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/aer",
"AERI","Aerie Pharmaceuticals, Inc.","67.55","$2.67B","2013","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/aeri",
"ACY","AeroCentury Corp.","15.85","$22.45M","n/a","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/acy",
"HIVE","Aerohive Networks, Inc.","3.97","$216.88M","2014","Technology","EDP Services","https://www.nasdaq.com/symbol/hive",
"AJRD","Aerojet Rocketdyne Holdings, Inc. ","29.49","$2.23B","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/ajrd",
"AVAV","AeroVironment, Inc.","71.43","$1.71B","2007","Capital Goods","Aerospace","https://www.nasdaq.com/symbol/avav",
"ARPO","Aerpio Pharmaceuticals, Inc.","4.15","$112.66M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/arpo",
"AEZS","AEterna Zentaris Inc.","1.95","$32.06M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aezs",
"AEMD","Aethlon Medical, Inc.","1.28","$22.73M","n/a","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/aemd",
"AET","Aetna Inc.","183.5","$60.02B","n/a","Health Care","Medical Specialities","https://www.nasdaq.com/symbol/aet",
"GNMX","Aevi Genomic Medicine, Inc.","1.11","$65.86M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/gnmx",
"AMG","Affiliated Managers Group, Inc.","148.67","$8.08B","n/a","Finance","Investment Managers","https://www.nasdaq.com/symbol/amg",
"AFMD","Affimed N.V.","1.65","$102.94M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/afmd",
"AFL","Aflac Incorporated","43.02","$33.3B","n/a","Finance","Accident &Health Insurance","https://www.nasdaq.com/symbol/afl",
"MITT","AG Mortgage Investment Trust, Inc.","18.79","$529.9M","2011","n/a","n/a","https://www.nasdaq.com/symbol/mitt",
"MITT^A","AG Mortgage Investment Trust, Inc.","25.4845","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mitt^a",
"MITT^B","AG Mortgage Investment Trust, Inc.","25.58","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/mitt^b",
"AGCO","AGCO Corporation","60.72","$4.83B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/agco",
"UAVS","AgEagle Aerial Systems, Inc.","1.82","$18.65M","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/uavs",
"AGEN","Agenus Inc.","2.27","$236.08M","2000","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/agen",
"AGRX","Agile Therapeutics, Inc.","0.494","$16.92M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agrx",
"A","Agilent Technologies, Inc.","61.84","$19.79B","1999","Capital Goods","Biotechnology: Laboratory Analytical Instruments","https://www.nasdaq.com/symbol/a",
"AGYS","Agilysys, Inc.","15.5","$360.14M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/agys",
"AGIO","Agios Pharmaceuticals, Inc.","84.23","$4.85B","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/agio",
"AGMH","AGM Group Holdings Inc.","23.68","$504.76M","2018","Technology","EDP Services","https://www.nasdaq.com/symbol/agmh",
"AGNC","AGNC Investment Corp.","18.59","$7.94B","2008","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agnc",
"AGNCB","AGNC Investment Corp.","25.67","$8.89B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncb",
"AGNCN","AGNC Investment Corp.","26","n/a","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/agncn",
"AEM","Agnico Eagle Mines Limited","45.83","$10.71B","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/aem",
"ADC","Agree Realty Corporation","52.77","$1.64B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/adc",
"AGFS","AgroFresh Solutions, Inc.","7.01","$353.52M","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfs",
"AGFSW","AgroFresh Solutions, Inc.","0.37","n/a","2014","Finance","Business Services","https://www.nasdaq.com/symbol/agfsw",
"ALRN","Aileron Therapeutics, Inc.","5.42","$79.88M","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alrn",
"AIMT","Aimmune Therapeutics, Inc.","26.89","$1.56B","2015","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aimt",
"AIRI","Air Industries Group","1.8","$47.56M","n/a","Capital Goods","Military/Government/Technical","https://www.nasdaq.com/symbol/airi",
"AL","Air Lease Corporation","41.97","$4.36B","2011","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/al",
"APD","Air Products and Chemicals, Inc.","155.73","$34.14B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/apd",
"AIRT","Air T, Inc.","33.35","$68.13M","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/airt",
"ATSG","Air Transport Services Group, Inc","22.59","$1.33B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/atsg",
"AYR","Aircastle Limited","20.5","$1.6B","2006","Technology","Diversified Commercial Services","https://www.nasdaq.com/symbol/ayr",
"AIRG","Airgain, Inc.","9.19","$88.87M","2016","Technology","Radio And Television Broadcasting And Communications Equipment","https://www.nasdaq.com/symbol/airg",
"AMCN","AirMedia Group Inc","0.6299","$39.57M","2007","Technology","Advertising","https://www.nasdaq.com/symbol/amcn",
"AKS","AK Steel Holding Corporation","4.34","$1.37B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/aks",
"AKAM","Akamai Technologies, Inc.","73.23","$12.45B","1999","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/akam",
"AKTX","Akari Therapeutics Plc","1.95","$29.75M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aktx",
"AKCA","Akcea Therapeutics, Inc.","23.71","$2.03B","2017","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akca",
"AKBA","Akebia Therapeutics, Inc.","9.98","$567.69M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akba",
"AKER","Akers Biosciences Inc","0.3872","$31.74M","2014","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances","https://www.nasdaq.com/symbol/aker",
"AKRX","Akorn, Inc.","16.59","$2.08B","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/akrx",
"AKTS","Akoustis Technologies, Inc.","7.27","$161.63M","n/a","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/akts",
"ALP^Q","Alabama Power Company","25.48","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/alp^q",
"ALG","Alamo Group, Inc.","90.36","$1.05B","n/a","Capital Goods","Industrial Machinery/Components","https://www.nasdaq.com/symbol/alg",
"AGI","Alamos Gold Inc.","5.69","$2.21B","2015","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/agi",
"ALRM","Alarm.com Holdings, Inc.","40.38","$1.91B","2015","Technology","Computer Software: Prepackaged Software","https://www.nasdaq.com/symbol/alrm",
"ALK","Alaska Air Group, Inc.","60.39","$7.44B","n/a","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/alk",
"ALSK","Alaska Communications Systems Group, Inc.","1.77","$94.01M","1999","Public Utilities","Telecommunications Equipment","https://www.nasdaq.com/symbol/alsk",
"AIN","Albany International Corporation","60.15","$1.94B","n/a","Basic Industries","Textiles","https://www.nasdaq.com/symbol/ain",
"ALB","Albemarle Corporation","94.33","$10.45B","n/a","Basic Industries","Major Chemicals","https://www.nasdaq.com/symbol/alb",
"ALBO","Albireo Pharma, Inc.","35.5","$423.94M","n/a","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/albo",
"ABDC","Alcentra Capital Corp.","6.39","$87.46M","n/a","n/a","n/a","https://www.nasdaq.com/symbol/abdc",
"AA","Alcoa Corporation","46.88","$8.74B","2016","Basic Industries","Aluminum","https://www.nasdaq.com/symbol/aa",
"ALDR","Alder BioPharmaceuticals, Inc.","15.8","$1.07B","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldr",
"ALDX","Aldeyra Therapeutics, Inc.","7.95","$159.87M","2014","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/aldx",
"ALEX","Alexander & Baldwin, Inc.","23.5","$1.69B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alex",
"ALX","Alexander&#39;s, Inc.","382.63","$1.95B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/alx",
"ARE","Alexandria Real Estate Equities, Inc.","126.17","$12.99B","n/a","Consumer Services","Real Estate Investment Trusts","https://www.nasdaq.com/symbol/are",
"ARE^D","Alexandria Real Estate Equities, Inc.","34.8","n/a","n/a","n/a","n/a","https://www.nasdaq.com/symbol/are^d",
"AXU","Alexco Resource Corp","1.335","$144.17M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/axu",
"ALXN","Alexion Pharmaceuticals, Inc.","124.15","$27.62B","1996","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alxn",
"AQN","Algonquin Power & Utilities Corp.","9.67","$4.55B","2016","Public Utilities","Electric Utilities: Central","https://www.nasdaq.com/symbol/aqn",
"BABA","Alibaba Group Holding Limited","185.53","$476.04B","2014","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/baba",
"ALCO","Alico, Inc.","31.7","$260.8M","n/a","Consumer Non-Durables","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/alco",
"ALGN","Align Technology, Inc.","342.14","$27.42B","2001","Health Care","Industrial Specialties","https://www.nasdaq.com/symbol/algn",
"ALIM","Alimera Sciences, Inc.","0.9783","$68.52M","2010","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alim",
"ALO","Alio Gold Inc.","1.46","$122.32M","2011","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/alo",
"ALJJ","ALJ Regional Holdings, Inc.","1.9","$72.05M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/aljj",
"ALKS","Alkermes plc","41.16","$6.38B","1991","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/alks",
"Y","Alleghany Corporation","574.97","$8.79B","n/a","Finance","Property-Casualty Insurers","https://www.nasdaq.com/symbol/y",
"ATI","Allegheny Technologies Incorporated","25.12","$3.16B","n/a","Basic Industries","Steel/Iron Ore","https://www.nasdaq.com/symbol/ati",
"ABTX","Allegiance Bancshares, Inc.","43.35","$578.32M","2015","Finance","Major Banks","https://www.nasdaq.com/symbol/abtx",
"ALGT","Allegiant Travel Company","138.95","$2.24B","2006","Transportation","Air Freight/Delivery Services","https://www.nasdaq.com/symbol/algt",
"ALLE","Allegion plc","77.36","$7.35B","2013","Consumer Services","Diversified Commercial Services","https://www.nasdaq.com/symbol/alle",
